id,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2
1,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
2,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
3,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
4,54.69841,20.782001,78.13099,72.36231,44.380844,3.5449357
5,54.69841,20.782001,78.13099,72.36231,44.380844,3.5449357
6,63.19322,17.013575,65.078125,64.947784,50.94106,0.03351125
7,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
8,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
9,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
10,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
11,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912
12,327.32797,51.01173,212.0305,133.17226,211.94904,3.7362924
13,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
14,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
15,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
16,46.188576,13.56611,62.121174,58.404926,40.89141,0.14172466
17,152.16005,35.634235,103.98623,101.98996,98.35496,0.16573682
18,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
19,492.0676,96.41198,384.55725,177.38788,384.3853,1.9565153
20,241.2769,55.993725,148.63945,138.81696,145.28659,1.13403
21,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
22,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912
23,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
24,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338
25,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922
26,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232
27,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
28,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
29,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
30,26.260695,14.773797,72.89991,60.800823,23.909971,3.287064
31,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
32,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922
33,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
34,69.57865,23.198238,82.72896,76.86293,55.36296,4.492263
35,32.402275,14.567225,68.79846,60.376423,29.426445,2.588575
36,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
37,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894
38,438.00305,80.90632,332.24445,162.52174,331.66122,2.5022366
39,168.82332,36.255154,111.13784,103.49445,107.26286,0.35102186
40,67.81533,16.625946,66.847496,64.39411,55.591145,0.26773036
41,21.777964,15.548711,73.005104,62.348927,19.803314,5.4383
42,272.86142,49.75219,178.74973,125.14559,178.17102,0.3016224
43,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
44,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994
45,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232
46,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338
47,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
48,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
49,605.872,103.235435,499.75162,182.83142,499.27554,3.5344
50,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
51,21.777964,15.548711,73.005104,62.348927,19.803314,5.4383
52,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
53,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
54,35.657948,13.573969,63.842575,58.345844,32.15527,1.24383
55,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
56,327.32797,51.01173,212.0305,133.17226,211.94904,3.7362924
57,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
58,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
59,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
60,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
61,103.24149,26.223797,84.69658,82.52785,74.05767,0.04637415
62,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055
63,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
64,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
65,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
66,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
67,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
68,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
69,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
70,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
71,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388
72,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
73,97.85958,22.6753,87.67268,75.88198,71.214165,5.34003
74,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922
75,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075
76,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264
77,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
78,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
79,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
80,93.853485,21.775042,77.974686,74.42532,68.91545,0.27909118
81,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
82,318.87134,67.604164,208.32689,151.16095,207.45984,1.6301191
83,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
84,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
85,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
86,232.99884,50.888355,144.51105,129.65996,142.2496,0.787472
87,232.99884,50.888355,144.51105,129.65996,142.2496,0.787472
88,232.99884,50.888355,144.51105,129.65996,142.2496,0.787472
89,24.42208,13.68445,75.7206,58.353367,22.115,1.6041605
90,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264
91,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912
92,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
93,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
94,97.85958,22.6753,87.67268,75.88198,71.214165,5.34003
95,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
96,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
97,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388
98,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482
99,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
100,185.14928,38.637585,120.432,107.79761,117.35556,0.3616422
101,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
102,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
103,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264
104,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264
105,558.48065,61.379852,448.3376,144.24052,448.25964,3.3978798
