id,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,1,0,0,0,0,0
47,48,83,56,6,1,200
48,2,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,32,81,43,8,1,285
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,26,29,16,1,0,71
56,0,0,0,0,0,2
57,98,204,92,9,5,410
58,91,246,78,5,7,413
59,36,86,60,7,0,201
60,12,12,7,0,0,19
61,0,0,0,0,0,0
62,0,1,0,0,0,0
63,22,45,34,5,0,122
64,0,0,0,0,0,0
65,37,58,31,2,0,109
66,9,9,3,0,1,17
67,47,126,71,5,5,318
68,49,69,41,1,2,114
69,89,130,67,2,3,135
70,53,108,41,5,0,191
71,10,15,3,1,0,34
72,58,123,47,3,3,119
73,0,0,0,0,0,0
74,2,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,56,132,37,2,3,136
78,62,115,50,4,3,161
79,73,171,87,6,2,174
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,2,1,0,0,0
83,1,0,0,0,0,3
84,0,2,0,0,0,0
85,1,0,0,0,0,0
86,7,6,2,0,0,5
87,1,1,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,1,0,0,0,0
91,0,0,0,0,0,0
92,2,8,4,0,0,5
93,0,0,0,0,0,0
94,2,0,0,0,0,2
95,64,130,76,3,9,292
96,110,220,79,6,1,371
97,5,12,2,0,0,13
98,0,0,0,0,0,0
99,2,2,0,0,0,0
100,0,0,0,0,0,0
101,34,109,34,2,2,177
102,1,0,1,0,0,0
103,30,89,23,5,2,130
104,0,0,0,0,0,1
105,0,0,0,0,0,0
106,2,2,0,0,0,0
107,44,38,20,2,0,126
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,1,2,0,0,0,0
112,0,0,0,0,0,0
113,0,1,0,0,0,0
114,0,0,0,0,0,0
115,85,200,83,10,7,490
116,51,93,38,0,0,131
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,37,89,42,4,0,155
123,0,0,0,0,0,0
124,0,1,0,0,0,2
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,8,28,8,1,1,20
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,18,59,30,1,1,102
133,20,75,36,0,1,91
