,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
0,10 Ramadan 1,Sharkia,0,0,0,0,0,1
1,10 Ramadan 2,Sharkia,0,1,0,0,0,1
2,15 Mayu,Cairo,5,2,2,0,0,4
3,6 October-1,Giza,17,30,14,2,0,113
4,6 October-2,Giza,17,28,18,1,0,42
5,A-Dakhla Oasis,New Valley,0,0,0,0,0,0
6,A L Labban,Alexandria,47,103,70,4,5,261
7,Abdin,Cairo,92,242,106,8,3,539
8,Abnub,Assiut,0,0,0,0,0,0
9,Abour,Kalyoubia,8,13,8,0,0,20
10,Abshaway,Fayoum,1,4,0,0,0,4
11,Abu-l-Matamir,Behera,0,0,0,0,0,0
12,Abu Hammad,Sharkia,0,3,0,0,0,1
13,Abu Hummus,Behera,1,10,3,0,1,12
14,Abu Kabir,Sharkia,2,0,1,0,0,4
15,Abu Radis,South Sinai,0,0,0,0,0,0
16,Abu Simbel,Aswan,0,0,0,0,0,0
17,Abu Tig,Assiut,0,0,0,0,0,0
18,Abu Tisht,Qena,2,3,0,0,0,5
19,Adfu,Aswan,0,0,0,0,0,0
20,Aga,Dakahlia,0,0,2,0,0,0
21,Ahnasya,Beni Suef,1,1,0,0,0,1
22,Ain Shams,Cairo,120,143,71,2,2,195
23,Akhmim,Suhag,17,56,9,1,2,29
24,Akhmim City,Suhag,0,0,0,0,0,0
25,Al- Badari,Assiut,0,1,0,0,0,0
26,Al-Aguza,Giza,61,289,88,6,0,473
27,Al-Ahram,Giza,42,76,33,2,0,175
28,Al-Arab,Port Said,43,95,62,8,1,267
29,Al-Arbiin,Suez,20,44,27,0,1,71
30,Al-Bagur,Menoufia,2,2,2,0,0,9
31,Al-Balyana,Suhag,0,3,1,0,0,1
32,Al-Dawahy,Port Said,19,19,21,1,1,44
33,Al-Dilingat,Behera,0,0,0,0,0,0
34,Al-Ganayin,Suez,0,0,0,0,0,0
35,Al-Ganoub,Port Said,0,0,0,0,0,0
36,Al-Ganoub 2,Port Said,0,0,0,0,0,0
37,Al-Ghanayem,Assiut,0,0,0,0,0,0
38,Al-Hammam,Matrouh,0,0,0,0,0,0
39,Al-Hasna,North Sinai,0,0,0,0,0,0
40,Al-Husayniya,Sharkia,0,0,0,0,0,0
41,Al-Kharga Oasis,New Valley,0,0,0,0,0,0
42,Al-Mahmudiyya,Behera,0,0,0,0,0,0
43,Al-Manasra,Port Said,0,0,0,0,0,0
44,Al-Maragha,Suhag,0,0,0,0,0,0
45,Al-Minshat,Suhag,1,0,0,0,0,0
46,Al-Munakh,Port Said,48,83,56,6,1,200
47,Al-Qanayat,Sharkia,2,0,0,0,0,0
48,Al-Qusia,Assiut,0,0,0,0,0,0
49,Al-Rahmaniyya,Behera,0,0,0,0,0,0
50,Al-Salhiyya,Sharkia,0,0,0,0,0,0
51,Al-Sharq,Port Said,32,81,43,8,1,285
52,Al-Shuhada,Menoufia,0,0,0,0,0,0
53,Al-Tur,South Sinai,0,0,0,0,0,0
54,Al-Zohour,Port Said,26,29,16,1,0,71
55,Al Amreia,Alexandria,0,0,0,0,0,2
56,Al Attarin,Alexandria,98,204,92,9,5,410
57,Al Azbakiyya,Cairo,91,246,78,5,7,413
58,Al Darb al-Ahmar,Cairo,36,86,60,7,0,201
59,Al Dikhila,Alexandria,12,12,7,0,0,19
60,Al Farafra Oasis,New Valley,0,0,0,0,0,0
61,Al Fashn,Beni Suef,0,1,0,0,0,0
62,Al Gumruk,Alexandria,22,45,34,5,0,122
63,Al Hamul,Kafr El-Shikh,0,0,0,0,0,0
64,Al Khalifa,Cairo,37,58,31,2,0,109
65,Al Khanka,Kalyoubia,9,9,3,0,1,17
66,Al Manshiyya,Alexandria,47,126,71,5,5,318
67,Al Matariyya,Cairo,49,69,41,1,2,114
68,Al Raml,Alexandria,89,130,67,2,3,135
69,Al Sahil,Cairo,53,108,41,5,0,191
70,Al Salam,Cairo,10,15,3,1,0,34
71,Al Sharabiyya,Cairo,58,123,47,3,3,119
72,Al Tibbin,Cairo,0,0,0,0,0,0
73,Al Usayrat,Suhag,2,0,0,0,0,0
74,Al Waqf,Qena,0,0,0,0,0,0
75,Al Wasta,Beni Suef,0,0,0,0,0,0
76,Al Wayli,Cairo,56,132,37,2,3,136
77,Al Zahir,Cairo,62,115,50,4,3,161
78,Al Zaytun,Cairo,73,171,87,6,2,174
79,Alamn,Matrouh,0,0,0,0,0,0
80,Alfath,Assiut,0,0,0,0,0,0
81,Armant,Qena,0,2,1,0,0,0
82,Ashmun,Menoufia,1,0,0,0,0,3
83,Assuit,Assiut,0,2,0,0,0,0
84,Assuit City,Assiut,1,0,0,0,0,0
85,Aswan,Aswan,7,6,2,0,0,5
86,Aswan,Aswan,1,1,0,0,0,0
87,Aswan City,Aswan,0,0,0,0,0,0
88,Ataqa,Suez,0,0,0,0,0,0
89,Atfeh,Giza,0,1,0,0,0,0
90,Atsa,Fayoum,0,0,0,0,0,0
91,Auseem,Giza,2,8,4,0,0,5
92,Awlad Saqr,Sharkia,0,0,0,0,0,0
93,Ayat,Giza,2,0,0,0,0,2
94,Bab Al-Shariyya,Cairo,64,130,76,3,9,292
95,Bab Sharqi,Alexandria,110,220,79,6,1,371
96,Badr,Cairo,5,12,2,0,0,13
97,Badr,Behera,0,0,0,0,0,0
98,Badrashain,Giza,2,2,0,0,0,0
99,Bahariya Oasis,Giza,0,0,0,0,0,0
100,Banha,Kalyoubia,34,109,34,2,2,177
101,Banha,Kalyoubia,1,0,1,0,0,0
102,Bani Swayf,Beni Suef,30,89,23,5,2,130
103,Bani Swayf,Beni Suef,0,0,0,0,0,1
104,Bani Swayf City,Beni Suef,0,0,0,0,0,0
105,Bany Abeed,Dakahlia,2,2,0,0,0,0
106,Basatin,Cairo,44,38,20,2,0,126
107,Basyun,Gharbia,0,0,0,0,0,0
108,Biba,Beni Suef,0,0,0,0,0,0
109,Bilbis,Sharkia,0,0,0,0,0,0
110,Bilqas,Dakahlia,1,2,0,0,0,0
111,Bir Al-Abd,North Sinai,0,0,0,0,0,0
112,Birkat Al-Sab,Menoufia,0,1,0,0,0,0
113,Biyalu,Kafr El-Shikh,0,0,0,0,0,0
