,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
0,10 Ramadan 1,Sharkia,,,,,,1.0
1,10 Ramadan 2,Sharkia,,1.0,,,,1.0
2,15 Mayu,Cairo,5.0,2.0,2.0,,,4.0
3,6 October-1,Giza,17.0,30.0,14.0,2.0,,113.0
4,6 October-2,Giza,17.0,28.0,18.0,1.0,,42.0
5,A-Dakhla Oasis,New Valley,,,,,,
6,A L Labban,Alexandria,47.0,103.0,70.0,4.0,5.0,261.0
7,Abdin,Cairo,87.0,203.625,93.0,8.0,3.0,41.0
8,Abnub,Assiut,,,,,,
9,Abour,Kalyoubia,8.0,13.0,8.0,,,20.0
10,Abshaway,Fayoum,1.0,4.0,,,,4.0
11,Abu-l-Matamir,Behera,,,,,,
12,Abu Hammad,Sharkia,,3.0,,,,1.0
13,Abu Hummus,Behera,1.0,10.0,3.0,,1.0,12.0
14,Abu Kabir,Sharkia,2.0,,1.0,,,4.0
15,Abu Radis,South Sinai,,,,,,
16,Abu Simbel,Aswan,,,,,,
17,Abu Tig,Assiut,,,,,,
18,Abu Tisht,Qena,2.0,3.0,,,,5.0
19,Adfu,Aswan,,,,,,
20,Aga,Dakahlia,,,2.0,,,
21,Ahnasya,Beni Suef,1.0,1.0,,,,1.0
22,Ain Shams,Cairo,87.0,143.0,71.0,2.0,2.0,195.0
23,Akhmim,Suhag,17.0,56.0,9.0,1.0,2.0,29.0
24,Akhmim City,Suhag,,,,,,
25,Al- Badari,Assiut,,1.0,,,,
26,Al-Aguza,Giza,61.0,203.625,88.0,6.0,,41.0
27,Al-Ahram,Giza,42.0,76.0,33.0,2.0,,175.0
28,Al-Arab,Port Said,43.0,95.0,62.0,8.0,1.0,265.0
29,Al-Arbiin,Suez,20.0,44.0,27.0,,1.0,71.0
30,Al-Bagur,Menoufia,2.0,2.0,2.0,,,9.0
31,Al-Balyana,Suhag,,3.0,1.0,,,1.0
32,Al-Dawahy,Port Said,19.0,19.0,21.0,1.0,1.0,44.0
33,Al-Dilingat,Behera,,,,,,
34,Al-Ganayin,Suez,,,,,,
35,Al-Ganoub,Port Said,,,,,,
36,Al-Ganoub 2,Port Said,,,,,,
37,Al-Ghanayem,Assiut,,,,,,
38,Al-Hammam,Matrouh,,,,,,
39,Al-Hasna,North Sinai,,,,,,
40,Al-Husayniya,Sharkia,,,,,,
41,Al-Kharga Oasis,New Valley,,,,,,
42,Al-Mahmudiyya,Behera,,,,,,
43,Al-Manasra,Port Said,,,,,,
44,Al-Maragha,Suhag,,,,,,
45,Al-Minshat,Suhag,1.0,,,,,
46,Al-Munakh,Port Said,48.0,83.0,56.0,6.0,1.0,200.0
47,Al-Qanayat,Sharkia,2.0,,,,,
48,Al-Qusia,Assiut,,,,,,
49,Al-Rahmaniyya,Behera,,,,,,
50,Al-Salhiyya,Sharkia,,,,,,
51,Al-Sharq,Port Said,32.0,81.0,43.0,8.0,1.0,265.0
52,Al-Shuhada,Menoufia,,,,,,
53,Al-Tur,South Sinai,,,,,,
54,Al-Zohour,Port Said,26.0,29.0,16.0,1.0,,71.0
55,Al Amreia,Alexandria,,,,,,2.0
56,Al Attarin,Alexandria,87.0,203.625,92.0,9.0,5.0,41.0
57,Al Azbakiyya,Cairo,87.0,203.625,78.0,5.0,6.0,41.0
58,Al Darb al-Ahmar,Cairo,36.0,86.0,60.0,7.0,,201.0
59,Al Dikhila,Alexandria,12.0,12.0,7.0,,,19.0
60,Al Farafra Oasis,New Valley,,,,,,
61,Al Fashn,Beni Suef,,1.0,,,,
62,Al Gumruk,Alexandria,22.0,45.0,34.0,5.0,,122.0
63,Al Hamul,Kafr El-Shikh,,,,,,
64,Al Khalifa,Cairo,37.0,58.0,31.0,2.0,,109.0
65,Al Khanka,Kalyoubia,9.0,9.0,3.0,,1.0,17.0
66,Al Manshiyya,Alexandria,47.0,126.0,71.0,5.0,5.0,265.0
67,Al Matariyya,Cairo,49.0,69.0,41.0,1.0,2.0,114.0
