district_id,district_en,district_ar,governorate_en,governorate_ar,district_lat,district_lon
dikirnis-eg1209,Dikirnis,مركز دكرنس,Dakahlia,الدقهلية,31.093,31.78
markz-al-idwa-eg2405,Markz Al Idwa,مركز العدوة,Menia,المنيا,28.696,30.74
kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط,31.359,31.603
sharm-el-sheikh-eg3505,Sharm el-Sheikh,قسم شرم الشيخ,South Sinai,جنوب سيناء,28.08,34.203
sinbillawin-eg1205,Sinbillawin,مركز السنبلاوين,Dakahlia,الدقهلية,30.883,31.513
north-coast-eg3308,North Coast,قسم الساحل الشمالى-جزء,Matrouh,مطروح,30.861,29.281
al-tur-eg3501,Al-Tur,قسم الطور,South Sinai,جنوب سيناء,28.365,33.753
kafr-al-shaykh-eg1502,Kafr Al-Shaykh,مركز كفر الشيخ,Kafr El-Shikh,كفر الشيخ,31.2,31.016
al-khanka-eg1403,Al Khanka,مركز الخانكة,Kalyoubia,القليوبية,30.231,31.358
alamn-eg3307,Alamn,قسم مارينا العلمين السياحية,Matrouh,مطروح,30.782,28.74
idku-eg1816,Idku,مركز إدكو,Behera,البحيرة,31.298,30.325
rummana-eg3410,Rummana,قسم رمانة,North Sinai,شمال سيناء,30.957,32.699
markz-maghagha-eg2410,Markz Maghagha,مركز مغاغة,Menia,المنيا,28.641,30.794
akhmim-eg2604,Akhmim,مركز أخميم,Suhag,سوهاج,26.551,31.715
shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة,31.003,30.679
markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا,28.431,30.71
fayyum-eg2302,Fayyum,مركز الفيوم,Fayoum,الفيوم,29.3,30.955
al-bagur-eg1704,Al-Bagur,مركز الباجور,Menoufia,المنوفية,30.413,31.032
mashtul-al-suq-eg1316,Mashtul Al-Suq,مركز مشتول السوق,Sharkia,الشرقية,30.361,31.383
itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة,30.886,30.656
markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا,28.285,30.629
awlad-saqr-eg1319,Awlad Saqr,مركز أولاد صقر,Sharkia,الشرقية,30.969,31.777
al-sharq-eg0301,Al-Sharq,قسم الشرق,Port Said,بورسعيد,31.263,32.307
suhag-eg2601,Suhag,قسم اول سوهاج,Suhag,سوهاج,26.547,31.693
kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة,30.654,30.774
shallatin-eg3106,Shallatin,قسم شلاتين,Red Sea,البحر الأحمر,23.079,34.574
nasr-eg2805,Nasr,مركز نصر,Aswan,أسوان,24.373,32.932
nebro-eg1221,Nebro,مركز نبروة,Dakahlia,الدقهلية,31.129,31.297
al-fashn-eg2204,Al Fashn,مركز الفشن,Beni Suef,بنى سويف,28.809,30.827
markz-mallawi-eg2412,Markz Mallawi,مركز ملوى,Menia,المنيا,27.775,30.801
al-shuhada-eg1705,Al-Shuhada,مركز الشهداء,Menoufia,المنوفية,30.601,30.87
markz-bani-mazar-eg2406,Markz Bani Mazar,مركز بنى مزار,Menia,المنيا,28.518,30.731
biyalu-eg1504,Biyalu,مركز بيلا,Kafr El-Shikh,كفر الشيخ,31.32,31.248
qutur-eg1611,Qutur,مركز قطور,Gharbia,الغربية,30.971,30.97
bani-swayf-eg2202,Bani Swayf,مركز بنى سويف,Beni Suef,بنى سويف,29.098,31.042
disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ,31.15,30.72
damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة,31.032,30.527
rud-al-farag-eg0120,Rud Al-Farag,قسم روضالفرج,Cairo,القاهرة,30.075,31.238
quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية,30.56,31.163
qina-eg2702,Qina,مركز قنا,Qena,قنا,26.163,32.578
sinuras-eg2305,Sinuras,مركز سنورس,Fayoum,الفيوم,29.441,30.815
manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية,31.153,31.958
abu-l-matamir-eg1803,Abu-l-Matamir,مركز ابوالمطامير,Behera,البحيرة,30.773,30.144
shaykh-zuwayd-eg3408,Shaykh Zuwayd,قسم الشيخ زويد,North Sinai,شمال سيناء,30.918,33.971
kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة,31.129,30.038
al-farafra-oasis-eg3203,Al Farafra Oasis,مركز الفرافرة,New Valley,الوادى الجديد,27.205,26.76
bilqas-eg1208,Bilqas,مركز بلقاس,Dakahlia,الدقهلية,31.344,31.379
badr-eg1818,Badr,مركز بدر,Behera,البحيرة,30.547,30.679
fariskur-eg1103,Fariskur,مركز فارسكور,Damietta,دمياط,31.31,31.733
nag-hammadi-eg2708,Nag Hammadi,مركز نجع حمادى,Qena,قنا,26.085,32.297
tamy-al-amdid-eg1216,Tamy Al-Amdid,مركز تمى الأمديد,Dakahlia,الدقهلية,30.947,31.594
qalyub-eg1410,Qalyub,مركز قليوب,Kalyoubia,القليوبية,30.207,31.214
siwa-eg3306,Siwa,مركز سيوة,Matrouh,مطروح,28.703,25.589
tal-al-kabir-al-eg1905,"Tal al-Kabir, al-",مركز التل الكبير,Ismailia,الإسماعيلية,30.418,31.933
bulaq-al-dakrur-eg2105,Bulaq Al-DakrUr,قسم بولاق الدكرور,Giza,الجيزة,30.03,31.19
sidi-barani-eg3305,Sidi Barani,قسم سيدى برانى,Matrouh,مطروح,30.656,25.886
al-gumruk-eg0210,Al Gumruk,قسم الجمرك,Alexandria,الاسكندرية,31.203,29.879
sidi-salim-eg1507,Sidi Salim,مركز سيدى سالم,Kafr El-Shikh,كفر الشيخ,31.31,30.738
santa-eg1604,Santa,مركز السنطة,Gharbia,الغربية,30.773,31.119
al-arab-eg0302,Al-Arab,قسم العرب,Port Said,بورسعيد,31.262,32.294
abu-hummus-eg1804,Abu Hummus,مركز ابوحمص,Behera,البحيرة,31.106,30.31
aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان,23.972,32.831
misr-al-qadima-eg0106,Misr Al-Qadima,مصرالقديمة,Cairo,القاهرة,30.006,31.242
salloum-eg3303,Salloum,قسم السلوم,Matrouh,مطروح,30.646,25.255
hush-isa-eg1808,Hush Isa,مركز حوش عيسى,Behera,البحيرة,30.891,30.346
kafr-saqr-eg1313,Kafr Saqr,مركز كفر صقر,Sharkia,الشرقية,30.837,31.675
markz-abu-qurqas-eg2404,Markz Abu Qurqas,مركز ابو قرقاص,Menia,المنيا,27.939,30.77
ayat-eg2112,Ayat,مركز العياط,Giza,الجيزة,29.564,31.25
bulaq-eg0112,Bulaq,قسم بولاق,Cairo,القاهرة,30.062,31.234
kafr-al-zayyat-eg1612,Kafr Al-Zayyat,مركز كفر الزيات,Gharbia,الغربية,30.807,30.835
qanatir-al-khayriyya-eg1404,Qanatir Al-Khayriyya,مركز القناطر الخيرية,Kalyoubia,القليوبية,30.214,31.135
zamalik-eg0133,Zamalik,قسم الزمالك,Cairo,القاهرة,30.056,31.223
bany-abeed-eg1218,Bany Abeed,مركز بنى عبيد,Dakahlia,الدقهلية,31.024,31.648
el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية,31.017,31.13
sidi-gabir-eg0203,Sidi Gabir,قسم سيدى جابر,Alexandria,الاسكندرية,31.216,29.949
dayrut-eg2510,Dayrut,مركز ديروط,Assiut,أسيوط,27.537,30.782
guhayna-al-gharbiyya-eg2611,Guhayna Al-Gharbiyya,مركز جهينة الغربية,Suhag,سوهاج,26.689,31.471
ras-sidr-eg3502,Ras Sidr,قسم رأس سدر,South Sinai,جنوب سيناء,29.599,33.317
shirbin-eg1210,Shirbin,مركز شربين,Dakahlia,الدقهلية,31.261,31.576
atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم,29.208,30.767
al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة,31.106,30.584
abu-tig-eg2505,Abu Tig,مركز أبوتيج,Assiut,أسيوط,27.037,31.289
markz-dir-mawas-eg2407,Markz Dir Mawas,مركز دير مواس,Menia,المنيا,27.655,30.79
qantara-gharb-al-eg1906,"Qantara Gharb, al-",مركز القنطرة,Ismailia,الإسماعيلية,30.742,32.245
al-qusia-eg2509,Al-Qusia,مركز القوصية,Assiut,أسيوط,27.403,30.826
al-zahir-eg0117,Al Zahir,قسم الظاهر,Cairo,القاهرة,30.063,31.268
aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية,30.895,31.313
fuwwa-eg1508,Fuwwa,مركز فوه,Kafr El-Shikh,كفر الشيخ,31.232,30.564
abshaway-eg2303,Abshaway,مركز أبشواى,Fayoum,الفيوم,29.374,30.69
dishna-eg2706,Dishna,مركز دشنا,Qena,قنا,26.142,32.444
badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة,29.824,31.258
ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية,30.299,31.008
kardasa-eg2120,Kardasa,مركز كرداسة,Giza,الجيزة,30.051,31.134
riyad-eg1512,Riyad,مركز الرياض,Kafr El-Shikh,كفر الشيخ,31.321,30.92
