neighborhood_en,neighborhood_ar,lat,lon,district_id,district_en,district_ar,governorate_en,governorate_ar
Al-Jazira,الجزيره,31.083,31.536,dikirnis-eg1209,Dikirnis,مركز دكرنس,Dakahlia,الدقهلية
Al-Jihad 4,الجهاد 4,28.751,30.726,markz-al-idwa-eg2405,Markz Al Idwa,مركز العدوة,Menia,المنيا
Umm Al-Rida Al-Jadida,أم الرضا الجديدة,31.413,31.621,kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط
Ras Muhammad,رأس محمد,27.754,34.241,sharm-el-sheikh-eg3505,Sharm el-Sheikh,قسم شرم الشيخ,South Sinai,جنوب سيناء
Mubarak,مبارك,30.859,31.363,sinbillawin-eg1205,Sinbillawin,مركز السنبلاوين,Dakahlia,الدقهلية
Mintaqat Al-Sahel Al-Shamali,منطقة الساحل الشمالى,30.861,29.281,north-coast-eg3308,North Coast,قسم الساحل الشمالى-جزء,Matrouh,مطروح
Habran,حبران,28.643,33.67,al-tur-eg3501,Al-Tur,قسم الطور,South Sinai,جنوب سيناء
Misir,مسير,31.057,31.004,kafr-al-shaykh-eg1502,Kafr Al-Shaykh,مركز كفر الشيخ,Kafr El-Shikh,كفر الشيخ
Miar,ميعر,28.608,33.779,al-tur-eg3501,Al-Tur,قسم الطور,South Sinai,جنوب سيناء
23 Yulyu,23يوليو,30.17,31.344,al-khanka-eg1403,Al Khanka,مركز الخانكة,Kalyoubia,القليوبية
25 Yanayir Al-Siyahiya,25 يناير السياحية,30.853,28.889,alamn-eg3307,Alamn,قسم مارينا العلمين السياحية,Matrouh,مطروح
6 October,6 أكتوبر,31.253,30.334,idku-eg1816,Idku,مركز إدكو,Behera,البحيرة
6 October,6 أكتوبر,30.998,32.673,rummana-eg3410,Rummana,قسم رمانة,North Sinai,شمال سيناء
Aba Al-Waqf,أبا الوقف,28.578,30.779,markz-maghagha-eg2410,Markz Maghagha,مركز مغاغة,Menia,المنيا
