id,lat,lon
1,30.222,31.732
2,30.238,31.7
3,29.853,31.387
4,29.985,30.963
5,29.941,30.908
6,24.803,27.209
7,31.191,29.892
8,30.046,31.245
9,27.295,31.106
10,30.225,31.447
11,29.374,30.69
12,30.773,30.144
13,30.543,31.649
14,31.106,30.31
15,30.733,31.69
16,29.049,33.598
17,22.624,32.599
18,27.037,31.289
19,26.13,32.086
20,25.061,32.957
21,30.895,31.313
22,29.102,30.943
23,30.123,31.33
24,26.551,31.715
25,26.524,31.865
26,26.946,31.456
27,30.059,31.204
28,29.99,31.136
29,31.262,32.294
30,29.98,32.536
31,30.413,31.032
32,26.241,31.944
33,31.246,32.28
34,30.81,30.49
35,30.063,32.703
36,31.141,32.291
37,30.993,32.254
38,26.922,31.329
39,29.804,29.418
40,30.288,33.542
41,30.924,32.006
42,24.964,31.013
43,31.197,30.488
44,31.237,32.173
45,26.669,31.588
46,26.464,31.756
47,31.265,32.287
48,30.635,31.471
49,27.403,30.826
50,31.106,30.584
51,30.634,32.006
52,31.263,32.307
53,30.601,30.87
54,28.365,33.753
55,31.266,32.266
56,30.959,29.828
57,31.198,29.904
58,30.06,31.246
59,30.041,31.26
60,31.119,29.806
61,27.205,26.76
62,28.809,30.827
63,31.203,29.879
64,31.388,31.075
65,30.01,31.296
66,30.231,31.358
67,31.198,29.892
68,30.128,31.304
69,31.237,29.986
70,30.092,31.247
71,30.162,31.428
72,30.082,31.264
73,29.781,31.337
74,26.401,31.815
75,26.084,32.448
76,29.324,31.17
77,30.072,31.283
78,30.063,31.268
79,30.1,31.301
80,30.782,28.74
81,27.218,31.212
82,25.612,32.492
83,30.299,31.008
84,27.117,31.232
85,27.254,31.281
86,24.063,32.901
87,23.972,32.831
88,24.068,32.983
89,29.539,32.128
90,29.343,31.25
91,29.208,30.767
92,30.132,31.142
93,30.969,31.777
94,29.564,31.25
95,30.059,31.258
96,31.205,29.921
97,30.136,31.706
98,30.547,30.679
99,29.824,31.258
100,28.452,28.836
101,30.466,31.19
102,30.443,31.248
103,29.077,31.097
104,29.098,31.042
105,28.982,31.159
106,31.024,31.648
107,29.98,31.293
108,30.959,30.827
109,28.951,30.967
110,30.408,31.531
111,31.344,31.379
112,30.69,33.102
113,30.651,31.108
114,31.32,31.248
115,30.062,31.234
116,30.03,31.19
117,30.901,29.494
118,30.899,29.622
119,31.521,31.273
120,29.463,28.243
121,28.73,34.451
122,31.049,30.463
123,31.032,30.527
124,26.274,32.043
125,24.326,33.001
126,27.537,30.782
127,31.093,31.78
128,26.142,32.444
129,31.145,30.649
130,31.15,30.72
131,31.44,31.842
132,31.407,31.807
133,31.425,31.819
134,31.439,31.706
135,30.042,31.208
136,30.752,31.444
137,31.047,31.419
138,30.732,31.564
139,31.12,33.824
140,31.09,33.751
141,30.995,33.777
142,30.851,33.596
143,31.017,31.13
144,30.972,31.172
145,30.971,31.157
146,31.053,31.467
147,31.029,31.375
148,30.723,31.798
149,30.749,31.896
150,31.31,31.733
151,26.056,32.149
152,30.366,32.292
153,30.118,32.181
154,29.314,30.839
155,29.3,30.955
156,29.208,30.882
157,31.232,30.564
158,30.054,31.265
159,31.205,31.852
160,31.438,31.549
161,26.348,31.888
162,26.307,31.867
163,29.999,31.216
164,29.943,31.213
165,26.689,31.471
166,30.086,31.283
167,22.386,36.0
168,30.652,31.617
169,29.854,31.329
170,27.129,33.244
171,27.745,33.08
172,30.891,30.346
173,29.902,31.253
174,31.298,30.325
175,30.083,31.21
176,30.22,30.963
177,30.426,32.183
178,30.606,32.311
179,30.614,32.26
180,30.612,32.291
181,25.365,32.52
182,30.886,30.656
183,31.137,30.133
184,31.129,30.038
185,31.119,30.941
186,31.2,31.016
187,30.807,30.835
188,31.359,31.603
189,30.837,31.675
190,30.554,31.275
191,30.051,31.134
192,31.179,29.904
193,26.555,31.722
194,28.095,30.744
195,27.186,31.154
196,27.729,30.837
197,26.767,31.492
198,31.211,29.994
199,27.193,31.179
200,30.157,31.318
201,30.654,30.774
202,24.48,32.947
203,25.707,32.67
204,25.685,32.588
205,29.963,31.368
206,30.048,31.309
207,31.09,31.513
208,27.294,30.951
209,31.153,31.958
210,30.156,31.346
211,27.939,30.77
212,28.696,30.74
213,28.101,30.641
214,28.518,30.731
215,27.655,30.79
216,28.641,30.794
217,27.775,30.801
218,28.431,30.71
219,28.285,30.629
220,24.707,34.286
221,30.022,26.997
222,30.361,31.383
223,31.191,32.004
224,31.167,29.88
225,30.043,31.284
226,30.46,30.881
