name_en,name_ar,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,green_coverage_pct,gov_en,gov_ar
10 Ramadan 1,قسم اول مدينة العاشر من رمضان,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,1.79,Sharkia,الشرقية
10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,0.1,Sharkia,الشرقية
15 Mayu,قسم 15 مايو,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.05,Cairo,القاهرة
6 October-1,قسم أول 6 أكتوبر,54.69841,20.782001,78.13099,72.36231,44.380844,3.5449357,4.21,Giza,الجيزة
6 October-2,قسم ثان 6 أكتوبر,54.69841,20.782001,78.13099,72.36231,44.380844,3.5449357,0.3,Giza,الجيزة
A-Dakhla Oasis,مركز الوحات الداخلة,63.19322,17.013575,65.078125,64.947784,50.94106,0.03351125,0.0,New Valley,الوادى الجديد
A L Labban,قسم اللبان,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,1.58,Alexandria,الاسكندرية
Matariyya,مركز المطرية,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,1.58,Dakahlia,الدقهلية
Abdin,قسم عابدين,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.63,Cairo,القاهرة
Abnub,مركز أبنوب,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037,4.04,Assiut,أسيوط
Abour,قسم العبور,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,2.78,Kalyoubia,القليوبية
Abshaway,مركز أبشواى,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,45.62,Fayoum,الفيوم
Abu-l-Matamir,مركز ابوالمطامير,327.32797,51.01173,212.0305,133.17226,211.94904,3.7362924,2.54,Behera,البحيرة
Santa,مركز السنطة,327.32797,51.01173,212.0305,133.17226,211.94904,3.7362924,2.54,Gharbia,الغربية
Abu Hammad,مركز أبو حماد,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,5.75,Sharkia,الشرقية
Abu Hummus,مركز ابوحمص,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,1.54,Behera,البحيرة
Al-Rahmaniyya,مركز الرحمانية,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,1.54,Behera,البحيرة
Abu Kabir,مركز أبوكبير,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,8.66,Sharkia,الشرقية
