id,name_en,name_ar,slug,lat,lon,parent_id,gov_en,gov_ar
EG1309,10 Ramadan 1,قسم اول مدينة العاشر من رمضان,10-ramadan-1-eg1309,30.222,31.732,EG13,Sharkia,الشرقية
EG1321,10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,10-ramadan-2-eg1321,30.238,31.7,EG13,Sharkia,الشرقية
EG0103,15 Mayu,قسم 15 مايو,15-mayu-eg0103,29.853,31.387,EG01,Cairo,القاهرة
EG2107,6 October-1,قسم أول 6 أكتوبر,6-october-1-eg2107,29.985,30.963,EG21,Giza,الجيزة
EG2121,6 October-2,قسم ثان 6 أكتوبر,6-october-2-eg2121,29.941,30.908,EG21,Giza,الجيزة
EG3202,A-Dakhla Oasis,مركز الوحات الداخلة,a-dakhla-oasis-eg3202,24.803,27.209,EG32,New Valley,الوادى الجديد
EG0209,A L Labban,قسم اللبان,a-l-labban-eg0209,31.191,29.892,EG02,Alexandria,الاسكندرية
EG0109,Abdin,قسم عابدين,abdin-eg0109,30.046,31.245,EG01,Cairo,القاهرة
EG2504,Abnub,مركز أبنوب,abnub-eg2504,27.295,31.106,EG25,Assiut,أسيوط
EG1413,Abour,قسم العبور,abour-eg1413,30.225,31.447,EG14,Kalyoubia,القليوبية
EG2303,Abshaway,مركز أبشواى,abshaway-eg2303,29.374,30.69,EG23,Fayoum,الفيوم
EG1803,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,EG18,Behera,البحيرة
EG1304,Abu Hammad,مركز أبو حماد,abu-hammad-eg1304,30.543,31.649,EG13,Sharkia,الشرقية
EG1804,Abu Hummus,مركز ابوحمص,abu-hummus-eg1804,31.106,30.31,EG18,Behera,البحيرة
EG1305,Abu Kabir,مركز أبوكبير,abu-kabir-eg1305,30.733,31.69,EG13,Sharkia,الشرقية
EG3503,Abu Radis,قسم أبو رديس,abu-radis-eg3503,29.049,33.598,EG35,South Sinai,جنوب سيناء
EG2807,Abu Simbel,مركز أبوسنبل,abu-simbel-eg2807,22.624,32.599,EG28,Aswan,أسوان
EG2505,Abu Tig,مركز أبوتيج,abu-tig-eg2505,27.037,31.289,EG25,Assiut,أسيوط
EG2703,Abu Tisht,مركز أبو طشت,abu-tisht-eg2703,26.13,32.086,EG27,Qena,قنا
EG2803,Adfu,مركز أدفو,adfu-eg2803,25.061,32.957,EG28,Aswan,أسوان
EG1204,Aga,مركز أجا,aga-eg1204,30.895,31.313,EG12,Dakahlia,الدقهلية
EG2206,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,EG22,Beni Suef,بنى سويف
EG0130,Ain Shams,قسم عينشمس,ain-shams-eg0130,30.123,31.33,EG01,Cairo,القاهرة
EG2604,Akhmim,مركز أخميم,akhmim-eg2604,26.551,31.715,EG26,Suhag,سوهاج
EG2618,Akhmim City,مدينة أخميم الجديدة,akhmim-city-eg2618,26.524,31.865,EG26,Suhag,سوهاج
EG2506,Al- Badari,مركز البدارى,al-badari-eg2506,26.946,31.456,EG25,Assiut,أسيوط
