shi_en,shi_ar,shi_lat,shi_lon,dis_en,dis_ar,slug,dis_lat,dis_lon,gov_en,gov_ar
Al-Jazira,الجزيره,31.083,31.536,Dikirnis,مركز دكرنس,dikirnis-eg1209,31.093,31.78,Dakahlia,الدقهلية
Al-Jihad 4,الجهاد 4,28.751,30.726,Markz Al Idwa,مركز العدوة,markz-al-idwa-eg2405,28.696,30.74,Menia,المنيا
Umm Al-Rida Al-Jadida,أم الرضا الجديدة,31.413,31.621,Kafr Sad,مركز كفر سعد,kafr-sad-eg1104,31.359,31.603,Damietta,دمياط
Ras Muhammad,رأس محمد,27.754,34.241,Sharm el-Sheikh,قسم شرم الشيخ,sharm-el-sheikh-eg3505,28.08,34.203,South Sinai,جنوب سيناء
Mubarak,مبارك,30.859,31.363,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Mintaqat Al-Sahel Al-Shamali,منطقة الساحل الشمالى,30.861,29.281,North Coast,قسم الساحل الشمالى-جزء,north-coast-eg3308,30.861,29.281,Matrouh,مطروح
Habran,حبران,28.643,33.67,Al-Tur,قسم الطور,al-tur-eg3501,28.365,33.753,South Sinai,جنوب سيناء
Misir,مسير,31.057,31.004,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Miar,ميعر,28.608,33.779,Al-Tur,قسم الطور,al-tur-eg3501,28.365,33.753,South Sinai,جنوب سيناء
23 Yulyu,23يوليو,30.17,31.344,Al Khanka,مركز الخانكة,al-khanka-eg1403,30.231,31.358,Kalyoubia,القليوبية
25 Yanayir Al-Siyahiya,25 يناير السياحية,30.853,28.889,Alamn,قسم مارينا العلمين السياحية,alamn-eg3307,30.782,28.74,Matrouh,مطروح
6 October,6 أكتوبر,31.253,30.334,Idku,مركز إدكو,idku-eg1816,31.298,30.325,Behera,البحيرة
6 October,6 أكتوبر,30.998,32.673,Rummana,قسم رمانة,rummana-eg3410,30.957,32.699,North Sinai,شمال سيناء
Aba Al-Waqf,أبا الوقف,28.578,30.779,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Abar Al-Malik,آبار الملك,26.599,31.743,Akhmim,مركز أخميم,akhmim-eg2604,26.551,31.715,Suhag,سوهاج
Abar Al-Waqf,آبار الوقف,26.622,31.744,Akhmim,مركز أخميم,akhmim-eg2604,26.551,31.715,Suhag,سوهاج
Abtuk,أبتوك,30.947,30.727,Shubra Khit,مركز شبراخيت,shubra-khit-eg1810,31.003,30.679,Behera,البحيرة
Abjaj Al-Hatab,أبجاج الحطب,28.457,30.638,Markz Matay,مركز مطاى,markz-matay-eg2409,28.431,30.71,Menia,المنيا
Abjij,أبجيج,29.287,30.807,Fayyum,مركز الفيوم,fayyum-eg2302,29.3,30.955,Fayoum,الفيوم
Abkhas,ابخاص,30.429,31.066,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,Menoufia,المنوفية
Abrash,أبراش,30.419,31.369,Mashtul Al-Suq,مركز مشتول السوق,mashtul-al-suq-eg1316,30.361,31.383,Sharkia,الشرقية
