id,lat,lon,green_coverage_pct
1,30.222,31.732,1.79
2,30.238,31.7,0.1
3,29.853,31.387,1.05
4,29.985,30.963,4.21
5,29.941,30.908,0.3
6,24.803,27.209,0.0
7,31.191,29.892,1.58
8,30.046,31.245,0.63
9,27.295,31.106,4.04
10,30.225,31.447,2.78
11,29.374,30.69,45.62
12,30.773,30.144,2.54
13,30.543,31.649,5.75
14,31.106,30.31,1.54
15,30.733,31.69,8.66
16,29.049,33.598,0.0
17,22.624,32.599,0.0
18,27.037,31.289,12.25
19,26.13,32.086,20.81
20,25.061,32.957,0.0
21,30.895,31.313,1.12
22,29.102,30.943,10.34
23,30.123,31.33,0.95
24,26.551,31.715,14.79
25,26.524,31.865,0.0
26,26.946,31.456,21.24
27,30.059,31.204,2.6
28,29.99,31.136,7.11
29,31.262,32.294,0.29
30,29.98,32.536,0.34
31,30.413,31.032,9.47
32,26.241,31.944,8.66
33,31.246,32.28,0.27
34,30.81,30.49,1.08
35,30.063,32.703,0.0
36,31.141,32.291,3.15
37,30.993,32.254,1.22
38,26.922,31.329,2.76
39,29.804,29.418,0.0
40,30.288,33.542,0.0
41,30.924,32.006,0.81
42,24.964,31.013,0.0
43,31.197,30.488,11.2
44,31.237,32.173,0.11
45,26.669,31.588,5.63
46,26.464,31.756,6.42
47,31.265,32.287,0.14
48,30.635,31.471,1.8
49,27.403,30.826,2.63
50,31.106,30.584,1.73
51,30.634,32.006,2.7
52,31.263,32.307,0.63
53,30.601,30.87,10.38
54,28.365,33.753,0.04
55,31.266,32.266,0.35
56,30.959,29.828,10.12
57,31.198,29.904,2.34
58,30.06,31.246,0.29
59,30.041,31.26,6.49
60,31.119,29.806,3.73
61,27.205,26.76,0.0
62,28.809,30.827,7.82
63,31.203,29.879,0.26
64,31.388,31.075,0.73
65,30.01,31.296,3.47
66,30.231,31.358,38.94
67,31.198,29.892,0.89
68,30.128,31.304,1.0
69,31.237,29.986,0.87
70,30.092,31.247,1.53
71,30.162,31.428,0.55
72,30.082,31.264,0.04
73,29.781,31.337,0.28
74,26.401,31.815,14.0
75,26.084,32.448,20.13
76,29.324,31.17,8.86
77,30.072,31.283,1.49
78,30.063,31.268,0.32
79,30.1,31.301,7.63
80,30.782,28.74,0.0
81,27.218,31.212,11.19
82,25.612,32.492,14.1
83,30.299,31.008,7.29
84,27.117,31.232,3.22
85,27.254,31.281,2.21
86,24.063,32.901,0.54
87,23.972,32.831,1.41
88,24.068,32.983,0.0
89,29.539,32.128,0.01
90,29.343,31.25,48.28
91,29.208,30.767,3.82
92,30.132,31.142,10.53
93,30.969,31.777,1.16
94,29.564,31.25,6.11
95,30.059,31.258,0.09
96,31.205,29.921,9.71
97,30.136,31.706,0.65
98,30.547,30.679,32.54
99,29.824,31.258,54.88
100,28.452,28.836,0.0
101,30.466,31.19,1.15
102,30.443,31.248,8.37
103,29.077,31.097,0.48
104,29.098,31.042,11.84
105,28.982,31.159,0.0
106,31.024,31.648,0.74
107,29.98,31.293,0.84
108,30.959,30.827,0.54
109,28.951,30.967,11.06
110,30.408,31.531,1.34
111,31.344,31.379,0.6
112,30.69,33.102,0.0
113,30.651,31.108,10.34
114,31.32,31.248,0.85
115,30.062,31.234,0.31
116,30.03,31.19,3.11
117,30.901,29.494,13.35
118,30.899,29.622,8.03
119,31.521,31.273,13.76
120,29.463,28.243,0.0
121,28.73,34.451,0.02
122,31.049,30.463,2.02
123,31.032,30.527,0.13
124,26.274,32.043,4.11
125,24.326,33.001,0.0
126,27.537,30.782,0.33
127,31.093,31.78,1.19
128,26.142,32.444,12.4
129,31.145,30.649,1.87
130,31.15,30.72,1.32
131,31.44,31.842,1.12
132,31.407,31.807,1.68
133,31.425,31.819,1.05
134,31.439,31.706,42.61
135,30.042,31.208,4.8
136,30.752,31.444,0.76
137,31.047,31.419,0.39
138,30.732,31.564,1.86
139,31.12,33.824,12.57
140,31.09,33.751,15.8
141,30.995,33.777,0.02
142,30.851,33.596,0.04
143,31.017,31.13,0.4
144,30.972,31.172,0.11
145,30.971,31.157,0.09
146,31.053,31.467,0.16
147,31.029,31.375,0.13
148,30.723,31.798,1.0
149,30.749,31.896,4.19
150,31.31,31.733,2.41
151,26.056,32.149,26.91
152,30.366,32.292,14.98
153,30.118,32.181,0.0
154,29.314,30.839,1.12
155,29.3,30.955,2.68
156,29.208,30.882,0.0
157,31.232,30.564,0.5
158,30.054,31.265,0.25
159,31.205,31.852,0.67
160,31.438,31.549,2.06
161,26.348,31.888,6.62
162,26.307,31.867,8.69
163,29.999,31.216,7.48
164,29.943,31.213,19.95
165,26.689,31.471,16.55
166,30.086,31.283,0.8
167,22.386,36.0,0.0
168,30.652,31.617,4.37
169,29.854,31.329,0.25
170,27.129,33.244,0.0
171,27.745,33.08,0.01
172,30.891,30.346,4.01
173,29.902,31.253,38.28
174,31.298,30.325,70.19
175,30.083,31.21,0.0
176,30.22,30.963,39.09
177,30.426,32.183,0.01
178,30.606,32.311,1.29
179,30.614,32.26,7.06
180,30.612,32.291,0.19
181,25.365,32.52,19.66
182,30.886,30.656,1.6
183,31.137,30.133,1.48
184,31.129,30.038,0.58
185,31.119,30.941,0.17
186,31.2,31.016,0.03
187,30.807,30.835,1.87
188,31.359,31.603,0.69
189,30.837,31.675,1.76
190,30.554,31.275,57.43
191,30.051,31.134,1.04
192,31.179,29.904,2.01
193,26.555,31.722,8.96
194,28.095,30.744,0.68
195,27.186,31.154,14.69
196,27.729,30.837,3.51
197,26.767,31.492,1.57
198,31.211,29.994,3.84
199,27.193,31.179,3.95
200,30.157,31.318,0.14
201,30.654,30.774,2.5
202,24.48,32.947,4.43
203,25.707,32.67,16.47
204,25.685,32.588,11.86
205,29.963,31.368,0.18
206,30.048,31.309,2.05
207,31.09,31.513,0.59
208,27.294,30.951,5.35
209,31.153,31.958,4.29
210,30.156,31.346,0.0
211,27.939,30.77,0.48
212,28.696,30.74,2.1
213,28.101,30.641,6.11
214,28.518,30.731,4.64
215,27.655,30.79,16.74
216,28.641,30.794,5.58
217,27.775,30.801,7.63
218,28.431,30.71,4.84
219,28.285,30.629,1.13
220,24.707,34.286,0.0
221,30.022,26.997,0.0
222,30.361,31.383,2.47
223,31.191,32.004,1.84
224,31.167,29.88,3.03
225,30.043,31.284,0.7
226,30.46,30.881,14.31
227,30.462,30.931,1.64
228,31.154,31.707,1.54
229,30.507,31.369,7.05
230,30.091,31.327,3.31
231,30.006,31.242,4.28
232,30.713,31.276,1.31
233,30.708,31.338,4.23
234,31.233,31.792,1.94
235,31.383,30.47,0.73
236,31.067,32.43,3.81
237,31.184,29.939,13.1
238,31.264,30.03,16.55
239,30.05,31.252,0.43
240,26.085,32.297,33.34
241,29.909,34.024,0.03
242,25.89,32.711,24.39
243,29.187,31.078,17.45
244,24.373,32.932,6.16
245,30.032,31.369,0.09
246,31.129,31.297,0.12
247,30.024,31.55,4.06
248,30.074,31.582,0.1
249,29.978,31.456,0.18
250,28.11,30.788,3.25
251,30.935,29.475,3.11
252,30.861,29.281,0.76
253,30.425,29.897,0.26
254,29.314,34.312,0.15
255,30.115,31.389,1.11
256,22.737,30.412,0.0
257,31.466,31.778,2.36
258,31.254,32.301,0.28
259,31.18,29.876,2.18
260,31.236,32.33,0.39
261,31.17,32.318,0.0
262,29.882,32.619,0.02
263,30.293,31.215,2.41
