name_en,name_ar,lat,lon,parent_name_local
Al-Jazira,الجزيره,31.083,31.536,مركز دكرنس
Al-Jihad 4,الجهاد 4,28.751,30.726,مركز العدوة
Umm Al-Rida Al-Jadida,أم الرضا الجديدة,31.413,31.621,مركز كفر سعد
Ras Muhammad,رأس محمد,27.754,34.241,قسم شرم الشيخ
Mubarak,مبارك,30.859,31.363,مركز السنبلاوين
Mintaqat Al-Sahel Al-Shamali,منطقة الساحل الشمالى,30.861,29.281,قسم الساحل الشمالى-جزء
Habran,حبران,28.643,33.67,قسم الطور
Misir,مسير,31.057,31.004,مركز كفر الشيخ
Miar,ميعر,28.608,33.779,قسم الطور
23 Yulyu,23يوليو,30.17,31.344,مركز الخانكة
25 Yanayir Al-Siyahiya,25 يناير السياحية,30.853,28.889,قسم مارينا العلمين السياحية
6 October,6 أكتوبر,31.253,30.334,مركز إدكو
6 October,6 أكتوبر,30.998,32.673,قسم رمانة
Aba Al-Waqf,أبا الوقف,28.578,30.779,مركز مغاغة
Abar Al-Malik,آبار الملك,26.599,31.743,مركز أخميم
Abar Al-Waqf,آبار الوقف,26.622,31.744,مركز أخميم
Abtuk,أبتوك,30.947,30.727,مركز شبراخيت
Abjaj Al-Hatab,أبجاج الحطب,28.457,30.638,مركز مطاى
Abjij,أبجيج,29.287,30.807,مركز الفيوم
Abkhas,ابخاص,30.429,31.066,مركز الباجور
Abrash,أبراش,30.419,31.369,مركز مشتول السوق
Abrak Al-Hamam,أبراك الحمام,30.826,30.661,مركز إيتاى البارود
Ibrahim,ابراهيم,28.336,30.689,مركز سمالوط
Ibrahim Hassan,إبراهيم حسن,31.055,31.854,مركز أولاد صقر
Ibrahim Hassanein,إبراهيم حسنين,31.276,32.322,قسم الشرق
Ibrahim Farrag,ابراهيم فراج,26.54,31.689,قسم اول سوهاج
Ibrahimiya Muhanna,ابراهيميةمهنا,30.808,30.732,مركز كوم حمادة
Abraq,أبرق,23.861,34.644,قسم شلاتين
Abrim,ابريم,24.536,33.006,مركز نصر
Abstawa,أبستوا,31.079,31.23,مركز نبروة
Absuj,أبسوج,28.869,30.878,مركز الفشن
Absum Al-Sharqiya,أبسوم الشرقية,30.783,30.622,مركز كوم حمادة
Absum Al-Gharbiya,أبسوم الغربية,30.78,30.611,مركز كوم حمادة
Abshadat,أبشادات,27.854,30.747,مركز ملوى
Abshadi,أبشادي,30.623,30.843,مركز الشهداء
Abshaq Al-Ghazal,ابشاق الغز ال,28.475,30.737,مركز بنى مزار
Abshan,أبشان,31.182,31.148,مركز بيلا
Abshawai Al-Malaq,ابشاواي الملق,30.936,31.03,مركز قطور
Abshana wa Bani Musa,أبشناوبنيموسي,29.158,31.058,مركز بنى سويف
Abshish,أبشيش,30.468,31.088,مركز الباجور
Abto,أبطو,31.199,30.746,مركز دسوق
Abtuga,أبطوجة,28.531,30.751,مركز بنى مزار
Ab'adiya Al-Rawda,أبعادية الروضة,31.077,30.888,مركز كفر الشيخ
Ab'adiya Damanhur,أبعاديةدمنهور,31.037,30.403,مركز دمنهور
Ibn Al-Rashid,ابن الرشيد,30.071,31.236,قسم روضالفرج
Abnahas,أبنهس,30.574,31.12,مركز قويسنا
Abnud,أبنود,26.056,32.792,مركز قنا
Abhit Al-Hajar,أبهيت الحجر,29.411,30.835,مركز سنورس
Abu Al-Akhdar,أبو الأخضر,31.087,31.905,مركز المنزلة
Abu Al-Ata,أبو العطا,30.737,30.197,مركز ابوالمطامير
Abu Al-Fita,أبو الفيته,31.095,34.11,قسم الشيخ زويد
Abu Al-Nawm,ابو النوم,31.184,30.083,مركز كفر الدوار
Abu Al-Hawl wa Abu Bakr Al-Siddiq,أبو الهول و أبو بكر الصديق,26.889,27.751,مركز الفرافرة
Abu Basal,أبو بصل,31.352,31.481,مركز بلقاس
Abu Bakr Al-Siddiq,أبو بكر الصديق,30.551,30.636,مركز بدر
Abu Jarida,أبو جريدة,31.29,31.736,مركز فارسكور
Abu Khuzam,ابو خزام,26.127,32.342,مركز نجع حمادى
Abu Dawud,أبو داود,30.921,31.585,مركز تمى الأمديد
Abu Rashid,أبو راشد,31.36,31.604,مركز كفر سعد
Abu Sanna,ابو سنة,30.152,31.216,مركز قليوب
Abu Sharouf - Al-Kafrawi,أبو شروف - الكفراوى,29.048,25.546,مركز سيوة
Abu Taha,أبو طة,31.118,31.723,مركز دكرنس
Abu Ashour,أبو عاشور,30.499,31.903,مركز التل الكبير
Abu Uwaynat,ابو عوينات,31.001,31.735,مركز أولاد صقر
Abu Ayyad,ابو عياد,31.392,31.541,مركز كفر سعد
Abu Qatada wa Tashmal Nawfal Al-Jadida wa Nawfal Al-Qadima,أبو قتادة و تشمل نوفل الجديدة ونوفل القديمة,30.021,31.204,قسم بولاق الدكرور
Abu Marzouq,أبو مرزوق,31.572,26.059,قسم سيدى برانى
Abu Mazhour,أبو مزهور,31.465,26.105,قسم سيدى برانى
Abu Minqar,أبو منقار,26.709,27.861,مركز الفرافرة
Abu Hurayra,ابو هريرة,26.958,27.88,مركز الفرافرة
Abu Shusha,أبوشوشة,31.199,29.885,قسم الجمرك
Abu Ahmad,أبو أحمد,31.314,30.836,مركز سيدى سالم
Abu Al-Jahour,أب والجهور,30.725,31.117,مركز السنطة
Abu Al-Hassan,أب والحسن,31.269,32.301,قسم العرب
Abu Al-Khawi,أب والخاوي,30.59,30.788,مركز كوم حمادة
Abu Al-Khidr,أب والخذر,31.091,30.365,مركز ابوحمص
Abu Al-Rish Bahari,أب والريشبحري,24.203,32.878,مركز أسوان
Abu Al-Rish Qibli,أب والريشقبلي,24.141,32.894,مركز أسوان
Abu Al-Sahma,أب والسحما,31.035,30.584,مركز شبراخيت
Abu Al-Saud,أب والسعود,29.367,30.944,مركز الفيوم
Abu Al-Saud wa Al-Madabigh,أب والسعود والمدابغ,30.017,31.237,مصرالقديمة
Abu Al-Saliqa,أب والسليقة,31.351,25.23,قسم السلوم
Abu Al-Shaqaf,أب والشقاف,30.888,30.429,مركز حوش عيسى
Abu Al-Shuquq,أب والشقوق,30.833,31.617,مركز كفر صقر
Abu Al-Safa,أبو الصفا,27.907,30.74,مركز ابو قرقاص
Abu Al-Sayr,أب والصير,30.914,31.541,مركز تمى الأمديد
Abu Al-Abbas,أب والعباس,29.534,31.233,مركز العياط
Abu Al-Abbas,أب والعباس,28.513,30.75,مركز بنى مزار
Abu Al-Araj,أب والعراج,31.075,33.955,قسم الشيخ زويد
Abu Al-Ala,أب والعلا,30.056,31.232,قسم بولاق
Abu Al-Ghur,أب والغر,30.778,30.86,مركز كفر الزيات
Abu Al-Gheit,أب والغيط,30.152,31.185,مركز القناطر الخيرية
Abu Al-Fida,أب والفدا,30.068,31.22,قسم الزمالك
Abu Al-Matamir Al-Bahariya,أبوالمطامير البحرية,30.884,30.104,مركز ابوالمطامير
Abu Al-Maati Al-Baz,أب والمعاطي الباز,31.025,31.735,مركز بنى عبيد
Abu Al-Najah,أب والنجاه,31.143,31.177,مركز المحله الكبرى
Abu Al-Nawatir,أب والنواتير,31.225,29.955,قسم سيدى جابر
Abu Al-Hadar,أب والهدر,27.608,30.749,مركز ديروط
Abu Bisht,أبوبشت,28.632,30.715,مركز مغاغة
Abu Bakr Al-Siddiq,أبو بكر الصديق,26.632,31.49,مركز جهينة الغربية
Abu Tamada,أبوتمادة,31.161,30.939,مركز كفر الشيخ
Abu Jurj,أبوجرج,28.53,30.79,مركز بنى مزار
Abu Ja'da,أبوجعدة,29.295,33.055,قسم رأس سدر
Abu Jalal,أبوجل ال,31.278,31.557,مركز شربين
